job,job_status,dataset,experiment,arm,hops,control,bridge_ratio,precision,update_policy,variant,stratification,stratum,n_examples,n_runs,example_cohort_sha256,metric_role,exact_match,exact_match_ci95_low,exact_match_ci95_high,f1,warm_latency_p50_ms,warm_latency_p95_ms,cache_precompute_union_p50_ms,retrieval_mean_ms,schedule_selection_mean_ms,mean_executed_evidence_hops,fraction_document_truncation,fraction_any_candidate_truncation,fraction_output_cap_reached,mean_cache_bytes,mean_cache_bytes_per_token,mean_support_recall,mean_bridge_recomputed_tokens,mean_evidence_tokens,mean_host_output_tokens,mean_ingest_prefill_tokens,mean_internal_decoded_tokens,mean_max_prefix_tokens,mean_query_prefill_tokens
beam_equal_updates,complete,beam,E1,direct_text,3,correct,0.2,bf16,all,direct_text/bf16,all,,60,60,ccf369fe3aa9c23209d6e901f77c8102302050cf5b3e4047b0487f2e1a15b2ea,"BEAM lexical proxy, not benchmark accuracy",0.0,,,0.25183850076279163,3140.6556040165015,4744.08859135583,0.0,1.373883297977348,0.005527681787498295,3.0,0.0,0.0,0.38333333333333336,,,,0.0,660.1833333333333,84.66666666666667,0.0,0.0,799.25,799.25
beam_equal_updates,complete,beam,E1,latent,3,correct,0.2,bf16,all,latent/bf16,all,,60,60,ccf369fe3aa9c23209d6e901f77c8102302050cf5b3e4047b0487f2e1a15b2ea,"BEAM lexical proxy, not benchmark accuracy",0.0,,,0.22626109688632307,4224.302396003623,5269.674370472785,405.72495851665735,1.373883297977348,0.005306227831169963,3.0,0.0,0.0,0.45,125836492.8,147456.0,,343.15,660.1833333333333,91.48333333333333,751.1833333333333,0.0,901.45,150.26666666666668
beam_equal_updates,complete,beam,E1,latent,3,correct,0.2,int8,all,latent/int8,all,,60,60,ccf369fe3aa9c23209d6e901f77c8102302050cf5b3e4047b0487f2e1a15b2ea,"BEAM lexical proxy, not benchmark accuracy",0.0,,,0.23087156528021907,4193.222750007408,5290.5070044711465,405.72495851665735,1.373883297977348,0.005298631731420755,3.0,0.0,0.0,0.4166666666666667,66850636.8,78336.0,,343.15,660.1833333333333,90.78333333333333,751.1833333333333,0.0,901.45,150.26666666666668
beam_equal_updates,complete,beam,E1,text,3,correct,0.2,bf16,all,text/bf16,all,,60,60,ccf369fe3aa9c23209d6e901f77c8102302050cf5b3e4047b0487f2e1a15b2ea,"BEAM lexical proxy, not benchmark accuracy",0.0,,,0.27247067760955745,9772.796062519774,18488.094074357647,0.0,1.373883297977348,0.005593684424335758,3.0,0.0,0.0,0.26666666666666666,,,,0.0,660.1833333333333,74.4,0.0,192.03333333333333,473.93333333333334,1451.5
beam_equal_updates,complete,beam,E6,direct_text,3,correct,0.2,bf16,all,direct_text/bf16,all,,12,12,085832da1135e796c3c7d1a57c4cff1c0a9bd6af7f4d1866d77235b2c28517d6,"BEAM lexical proxy, not benchmark accuracy",0.0,,,0.2743883857360707,2684.698874509195,4209.675814388902,0.0,1.3066493411315605,0.005718825074533622,3.0,0.0,0.0,0.0,,,,0.0,632.1666666666666,67.75,0.0,0.0,766.9166666666666,766.9166666666666
beam_equal_updates,complete,beam,E6,direct_text,3,correct,0.2,bf16,all,direct_text/bf16,category,contradiction_resolution,6,6,8b3f1db38e6e6031668c557c8afc5b4fbc1706c042cd7a1848e49603ecaa9623,"BEAM lexical proxy, not benchmark accuracy",0.0,,,0.3289355016308716,3045.8156669919845,4354.356583251501,0.0,1.4392223383765668,0.006222331042711933,3.0,0.0,0.0,0.0,,,,0.0,656.1666666666666,85.0,0.0,0.0,794.8333333333334,794.8333333333334
beam_equal_updates,complete,beam,E6,direct_text,3,correct,0.2,bf16,all,direct_text/bf16,category,knowledge_update,6,6,cc309a69b1b26be82faef9f7a7d512883a5a2bde7097daff92aa99c985b547e6,"BEAM lexical proxy, not benchmark accuracy",0.0,,,0.21984126984126984,1745.2662710275035,3596.425884985365,0.0,1.1740763438865542,0.0052153191063553095,3.0,0.0,0.0,0.0,,,,0.0,608.1666666666666,50.5,0.0,0.0,739.0,739.0
beam_equal_updates,complete,beam,E6,latent,3,correct,0.2,bf16,all,latent/bf16,all,,12,12,085832da1135e796c3c7d1a57c4cff1c0a9bd6af7f4d1866d77235b2c28517d6,"BEAM lexical proxy, not benchmark accuracy",0.0,,,0.2617148790061367,3477.3349374881946,5202.965851881891,369.59095802740194,1.3066493411315605,0.005486091443647941,3.0,0.0,0.0,0.25,119795712.0,147456.0,,321.8333333333333,632.1666666666666,82.5,723.1666666666666,0.0,856.1666666666666,133.0
beam_equal_updates,complete,beam,E6,latent,3,correct,0.2,bf16,all,latent/bf16,category,contradiction_resolution,6,6,8b3f1db38e6e6031668c557c8afc5b4fbc1706c042cd7a1848e49603ecaa9623,"BEAM lexical proxy, not benchmark accuracy",0.0,,,0.3345408691233845,3966.9563334900886,5204.281364465714,369.1569374932442,1.4392223383765668,0.00555551378056407,3.0,0.0,0.0,0.3333333333333333,125067264.0,147456.0,,334.1666666666667,656.1666666666666,100.5,747.1666666666666,0.0,895.8333333333334,148.66666666666666
beam_equal_updates,complete,beam,E6,latent,3,correct,0.2,bf16,all,latent/bf16,category,knowledge_update,6,6,cc309a69b1b26be82faef9f7a7d512883a5a2bde7097daff92aa99c985b547e6,"BEAM lexical proxy, not benchmark accuracy",0.0,,,0.18888888888888888,2696.1891669780016,4571.632759718341,369.59095802740194,1.1740763438865542,0.0054166691067318124,3.0,0.0,0.0,0.16666666666666666,114524160.0,147456.0,,309.5,608.1666666666666,64.5,699.1666666666666,0.0,816.5,117.33333333333333
